cups,caffeine,strength,age,gender,employment_status,wfh
1.7763990883768042,Not Specified,Not specified,18-24 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,25-34 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,25-34 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,35-44 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,25-34 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,55-64 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,18-24 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,,Not specified,Not specified,Not specified
0.5,Not Specified,Not specified,25-34 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,18-24 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,,Not specified,Not specified,Not specified
2.0,Full caffeine,Light,<18 years old,Not specified,Not specified,Not specified
1.0,Full caffeine,Strong,25-34 years old,Not specified,Not specified,Not specified
3.0,Full caffeine,Medium,<18 years old,Other,Employed full-time,Work from home
3.0,Full caffeine,Strong,>65 years old,Not specified,Not specified,Not specified
1.0,Full caffeine,Strong,25-34 years old,Female,Employed full-time,Work from home
2.0,Not Specified,Not specified,25-34 years old,Not specified,Not specified,Not specified
2.0,Full caffeine,Strong,18-24 years old,Not specified,Not specified,Not specified
3.0,Not Specified,Not specified,18-24 years old,Not specified,Not specified,Not specified
1.7763990883768042,Full caffeine,Light,18-24 years old,Not specified,Not specified,Not specified
1.7763990883768042,Full caffeine,Strong,35-44 years old,Not specified,Not specified,Not specified
5.0,Full caffeine,Strong,25-34 years old,Not specified,Not specified,Not specified
1.0,Full caffeine,Medium,45-54 years old,Not specified,Not specified,Not specified
2.0,Full caffeine,Strong,18-24 years old,Not specified,Not specified,Not specified
1.0,Full caffeine,Not specified,35-44 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,,Not specified,Not specified,Not specified
3.0,Not Specified,Not specified,25-34 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,18-24 years old,Not specified,Not specified,Not specified
1.0,Full caffeine,Strong,25-34 years old,Not specified,Not specified,Not specified
2.0,Not Specified,Not specified,18-24 years old,Not specified,Not specified,Not specified
3.0,Not Specified,Not specified,18-24 years old,Not specified,Not specified,Not specified
1.7763990883768042,Full caffeine,Strong,<18 years old,Not specified,Not specified,Not specified
2.0,Full caffeine,Medium,45-54 years old,Male,Employed full-time,Work from home
1.7763990883768042,Not Specified,Not specified,18-24 years old,Not specified,Not specified,Not specified
1.7763990883768042,Not Specified,Not specified,,Not specified,Not specified,Not specified
3.0,Full caffeine,Strong,18-24 years old,Not specified,Not specified,Not specified
